thermal_demand,electricity_price,co2_price,gas_price
0.26300267,161.37,82.25,94.548
0.25029687,166.06,82.25,94.548
0.243590226,166.54,82.25,94.548
0.243733152,166.04,82.25,94.548
0.246778243,169.43,82.25,94.548
0.25426715,189.7,82.25,94.548
0.267534384,201.97,82.25,94.548
0.285667163,243.11,82.25,94.548
0.297276272,253.81,82.25,94.548
0.283749479,237.05,82.25,94.548
0.262676999,224.33,82.25,94.548
0.218467954,213.81,82.25,94.548
0.150722764,185.94,82.25,94.548
0.144173516,148.32,82.25,94.548
0.12371976,164.17,82.25,90.886
0.126329139,152.83,82.25,90.886
0.132122902,166,82.25,90.886
0.146540798,160.86,82.25,90.886
0.183134488,160,82.25,90.886
0.252008094,154.3,82.25,90.886
0.298184854,166,82.25,90.886
0.279195833,182.91,82.25,90.886
0.257828826,215.89,82.25,90.886
0.240060631,231,82.25,90.886
0.221433703,228.95,82.25,90.886
0.210736122,215.39,82.25,90.886
0.205089499,206.68,82.25,90.886
0.205209834,185,82.25,90.886
0.207773632,169.52,82.25,90.886
0.214078878,162.8,82.25,90.886
0.225249155,161.34,82.25,90.886
0.240515952,189.9,82.25,90.886
0.25029018,170.71,82.25,90.886
0.238901368,140.23,82.25,90.886
0.221159505,102.54,82.25,90.886
0.183937935,102.18,82.25,90.886
0.126900231,102.29,82.25,90.886
0.121386127,90.05,82.25,90.886
0.165594067,85.03,82.25,90.886
0.170088151,84.4,82.25,90.886
0.177304171,80.24,82.25,90.886
0.190148659,55.46,82.25,90.886
0.223750964,49.29,82.25,90.886
0.2962578,50.64,82.25,90.886
0.347133353,74.29,82.25,90.886
0.3351253,84.44,82.25,90.886
0.315651352,97.26,82.25,90.886
0.298347115,119.97,82.25,90.886
0.277032769,134.96,82.25,90.886
0.264244886,149.4,82.25,90.886
0.256127093,165.13,82.25,90.886
0.254952491,165.06,82.25,90.886
0.258962039,170.09,82.25,90.886
0.267742709,189.04,82.25,90.886
0.277530124,190.96,82.25,90.886
0.293376169,223.3,82.25,90.886
0.306241207,243.94,82.25,90.886
0.295316286,240,82.25,90.886
0.275433996,230.82,82.25,90.886
0.235983915,214.02,82.25,90.886
0.169364694,215.88,82.25,90.886
0.162571656,203.8,82.25,90.886
0.115486034,196.23,82.25,91.43
0.117921755,191.85,82.25,91.43
0.123329936,195.91,82.25,91.43
0.1367883,186.66,82.25,91.43
0.170946628,178.04,82.25,91.43
0.235236598,191.65,82.25,91.43
0.278340229,237.44,82.25,91.43
0.260614955,299.95,82.25,91.43
0.240669952,313.92,82.25,91.43
0.224084256,315,82.25,91.43
0.206696976,310.41,82.25,91.43
0.196711334,310.08,82.25,91.43
0.191440502,300,82.25,91.43
0.191552828,297.01,82.25,91.43
0.193946002,299.96,82.25,91.43
0.199831625,306.45,82.25,91.43
0.210258505,302.73,82.25,91.43
0.224509275,315.47,82.25,91.43
0.233633013,310.82,82.25,91.43
0.223002143,294.98,82.25,91.43
0.206441027,267.45,82.25,91.43
0.171696604,242.29,82.25,91.43
0.118454841,217.03,82.25,91.43
0.113307708,195.83,82.25,91.43
0.146945234,210.34,82.25,88.498
0.150044462,202.42,82.25,88.498
0.156925868,197.6,82.25,88.498
0.174050384,193,82.25,88.498
0.217513679,194.9,82.25,88.498
0.299316685,204.45,82.25,88.498
0.354162045,237.13,82.25,88.498
0.331608282,298.68,82.25,88.498
0.306230122,302.02,82.25,88.498
0.285126366,297.16,82.25,88.498
0.26300267,277.02,82.25,88.498
0.25029687,266.43,82.25,88.498
0.243590226,254.92,82.25,88.498
0.243733152,248.89,82.25,88.498
0.246778243,255.01,82.25,88.498
0.25426715,277.9,82.25,88.498
0.267534384,289.94,82.25,88.498
0.285667163,316.4,82.25,88.498
0.297276272,315.9,82.25,88.498
0.283749479,309.2,82.25,88.498
0.262676999,285.33,82.25,88.498
0.218467954,245.44,82.25,88.498
0.150722764,237.27,82.25,88.498
0.144173516,212.49,82.25,88.498
0.165594067,196.65,82.25,82.675
0.170088151,187.1,82.25,82.675
0.177304171,184.27,82.25,82.675
0.190148659,179.58,82.25,82.675
0.223750964,178.33,82.25,82.675
0.2962578,193.5,82.25,82.675
0.347133353,240.56,82.25,82.675
0.3351253,273.18,82.25,82.675
0.315651352,300.1,82.25,82.675
0.298347115,292.74,82.25,82.675
0.277032769,275.5,82.25,82.675
0.264244886,258.65,82.25,82.675
0.256127093,245.11,82.25,82.675
0.254952491,232.08,82.25,82.675
0.258962039,234.77,82.25,82.675
0.267742709,240.01,82.25,82.675
0.277530124,255,82.25,82.675
0.293376169,284.82,82.25,82.675
0.306241207,285.97,82.25,82.675
0.295316286,269.03,82.25,82.675
0.275433996,235.25,82.25,82.675
0.235983915,191.5,82.25,82.675
0.169364694,193.69,82.25,82.675
0.162571656,172.18,82.25,82.675
0.115486034,173.14,82.25,79.105
0.117921755,161.69,82.25,79.105
0.123329936,153.58,82.25,79.105
0.1367883,147.07,82.25,79.105
0.170946628,152.47,82.25,79.105
0.235236598,171.26,82.25,79.105
0.278340229,192.03,82.25,79.105
0.260614955,215.24,82.25,79.105
0.240669952,235.9,82.25,79.105
0.224084256,219.99,82.25,79.105
0.206696976,180.08,82.25,79.105
0.196711334,170.16,82.25,79.105
